,ClienteID,Idade,Sexo,Trab,Habitação,Conta Poupança,Conta Corrente,Montante de credito,Duração,Objetivo,Risco
0,0,67,Homem,2,Propria,,Pequena,1169,6,radio/TV,Bom
1,1,22,Mulher,2,Propria,Pequena,Moderada,5951,48,radio/TV,Ruim
2,2,49,Homem,1,Propria,Pequena,,2096,12,Educação,Bom
3,3,45,Homem,2,Gratis,Pequena,Pequena,7882,42,Moveis/Equipamentos,Bom
4,4,53,Homem,2,Gratis,Pequena,Pequena,4870,24,Automovel,Ruim
5,5,35,Homem,1,Gratis,,,9055,36,Educação,Bom
6,6,53,Homem,2,Propria,Muito Rica,,2835,24,Moveis/Equipamentos,Bom
7,7,35,Homem,3,Alugada,Pequena,Moderada,6948,36,Automovel,Bom
8,8,61,Homem,1,Propria,rich,,3059,12,radio/TV,Bom
9,9,28,Homem,3,Propria,Pequena,Moderada,5234,30,Automovel,Ruim
10,10,25,Mulher,2,Alugada,Pequena,Moderada,1295,12,Automovel,Ruim
11,11,24,Mulher,2,Alugada,Pequena,Pequena,4308,48,Negocios,Ruim
12,12,22,Mulher,2,Propria,Pequena,Moderada,1567,12,radio/TV,Bom
13,13,60,Homem,1,Propria,Pequena,Pequena,1199,24,Automovel,Ruim
14,14,28,Mulher,2,Alugada,Pequena,Pequena,1403,15,Automovel,Bom
15,15,32,Mulher,1,Propria,Moderada,Pequena,1282,24,radio/TV,Ruim
16,16,53,Homem,2,Propria,,,2424,24,radio/TV,Bom
17,17,25,Homem,2,Propria,,Pequena,8072,30,Negocios,Bom
18,18,44,Mulher,3,Gratis,Pequena,Moderada,12579,24,Automovel,Ruim
19,19,31,Homem,2,Propria,Muito Rica,,3430,24,radio/TV,Bom
20,20,48,Homem,2,Propria,Pequena,,2134,9,Automovel,Bom
21,21,44,Homem,2,Alugada,Muito Rica,Pequena,2647,6,radio/TV,Bom
22,22,48,Homem,1,Alugada,Pequena,Pequena,2241,10,Automovel,Bom
23,23,44,Homem,2,Propria,Moderada,Moderada,1804,12,Automovel,Bom
24,24,26,Homem,2,Propria,,,2069,10,Moveis/Equipamentos,Bom
25,25,36,Homem,1,Propria,Pequena,Pequena,1374,6,Moveis/Equipamentos,Bom
26,26,39,Homem,1,Propria,Pequena,,426,6,radio/TV,Bom
27,27,42,Mulher,2,Alugada,rich,Rico,409,12,radio/TV,Bom
28,28,34,Homem,2,Propria,Pequena,Moderada,2415,7,radio/TV,Bom
29,29,63,Homem,2,Propria,Pequena,Pequena,6836,60,Negocios,Ruim
30,30,36,Homem,2,Propria,rich,Moderada,1913,18,Negocios,Bom
31,31,27,Homem,2,Propria,Pequena,Pequena,4020,24,Moveis/Equipamentos,Bom
32,32,30,Homem,2,Propria,Moderada,Moderada,5866,18,Automovel,Bom
33,33,57,Homem,1,Alugada,,,1264,12,Negocios,Bom
34,34,33,Mulher,3,Propria,Pequena,Rico,1474,12,Moveis/Equipamentos,Bom
35,35,25,Homem,1,Propria,Pequena,Moderada,4746,45,radio/TV,Ruim
36,36,31,Homem,2,Gratis,Pequena,,6110,48,Educação,Bom
37,37,37,Homem,2,Propria,Pequena,Rico,2100,18,radio/TV,Ruim
38,38,37,Homem,2,Propria,Pequena,Rico,1225,10,Eletrodomesticos,Bom
39,39,24,Homem,2,Propria,Pequena,Moderada,458,9,radio/TV,Bom
40,40,30,Homem,3,Propria,Muito Rica,,2333,30,radio/TV,Bom
41,41,26,Homem,2,Propria,Muito Rica,Moderada,1158,12,radio/TV,Bom
42,42,44,Homem,1,Propria,Pequena,Moderada,6204,18,Reparos,Bom
43,43,24,Homem,2,Alugada,Moderada,Pequena,6187,30,Automovel,Bom
44,44,58,Mulher,1,Gratis,Pequena,Pequena,6143,48,Automovel,Ruim
45,45,35,Mulher,3,Propria,Pequena,,1393,11,Automovel,Bom
46,46,39,Homem,2,Propria,Muito Rica,,2299,36,radio/TV,Bom
47,47,23,Mulher,0,Alugada,Muito Rica,Pequena,1352,6,Automovel,Bom
48,48,39,Homem,1,Propria,Pequena,,7228,11,Automovel,Bom
49,49,28,Mulher,2,Propria,Moderada,,2073,12,radio/TV,Bom
50,50,29,Homem,1,Propria,,Moderada,2333,24,Moveis/Equipamentos,Bom
51,51,30,Homem,3,Propria,Pequena,Moderada,5965,27,Automovel,Bom
52,52,25,Homem,2,Propria,Pequena,,1262,12,radio/TV,Bom
53,53,31,Homem,2,Propria,,,3378,18,Automovel,Bom
54,54,57,Homem,2,Gratis,Pequena,Moderada,2225,36,Automovel,Ruim
55,55,26,Homem,1,Propria,,,783,6,Automovel,Bom
56,56,52,Homem,3,Propria,,Moderada,6468,12,radio/TV,Ruim
57,57,31,Mulher,2,Propria,Pequena,,9566,36,radio/TV,Bom
58,58,23,Mulher,3,Propria,Pequena,Rico,1961,18,Automovel,Bom
59,59,23,Mulher,1,Alugada,Pequena,Pequena,6229,36,Moveis/Equipamentos,Ruim
60,60,27,Homem,2,Propria,Pequena,Moderada,1391,9,Negocios,Bom
61,61,50,Homem,2,Propria,,Moderada,1537,15,radio/TV,Bom
62,62,61,Homem,3,Gratis,Pequena,Moderada,1953,36,Negocios,Ruim
63,63,25,Homem,2,Propria,Pequena,Moderada,14421,48,Negocios,Ruim
64,64,26,Mulher,2,Propria,Pequena,,3181,24,radio/TV,Bom
65,65,48,Homem,2,Propria,,,5190,27,Reparos,Bom
66,66,29,Mulher,2,Propria,Pequena,,2171,12,radio/TV,Bom
67,67,22,Homem,2,Propria,rich,Moderada,1007,12,Automovel,Bom
68,68,37,Homem,2,Gratis,Pequena,,1819,36,Educação,Ruim
69,69,25,Mulher,2,Propria,,,2394,36,radio/TV,Bom
70,70,30,Mulher,2,Propria,Pequena,,8133,36,Automovel,Bom
71,71,46,Homem,1,Alugada,,,730,7,radio/TV,Bom
72,72,51,Homem,3,Gratis,Pequena,Pequena,1164,8,Ferias/Outros,Bom
73,73,41,Mulher,1,Propria,Pequena,Moderada,5954,42,Negocios,Bom
74,74,40,Homem,3,Propria,,Pequena,1977,36,Educação,Ruim
75,75,66,Homem,3,Gratis,Pequena,Pequena,1526,12,Automovel,Bom
76,76,34,Homem,2,Propria,Pequena,Pequena,3965,42,radio/TV,Ruim
77,77,51,Homem,2,Propria,Pequena,Moderada,4771,11,radio/TV,Bom
78,78,39,Homem,1,Propria,,,9436,54,Automovel,Bom
79,79,22,Homem,2,Propria,Pequena,Moderada,3832,30,Moveis/Equipamentos,Bom
80,80,44,Mulher,2,Propria,,,5943,24,radio/TV,Ruim
81,81,47,Homem,2,Propria,Muito Rica,,1213,15,radio/TV,Bom
82,82,24,Mulher,1,Alugada,Moderada,,1568,18,Negocios,Bom
83,83,58,Mulher,1,Propria,Pequena,Pequena,1755,24,Ferias/Outros,Bom
84,84,52,Homem,1,Propria,Pequena,Pequena,2315,10,radio/TV,Bom
85,85,29,Mulher,3,Propria,Pequena,,1412,12,Negocios,Bom
86,86,27,Mulher,2,Propria,Pequena,Moderada,1295,18,Moveis/Equipamentos,Bom
87,87,47,Homem,2,Gratis,Moderada,Moderada,12612,36,Educação,Ruim
88,88,30,Homem,3,Propria,Moderada,Pequena,2249,18,Automovel,Bom
89,89,28,Homem,2,Propria,Pequena,Pequena,1108,12,Reparos,Ruim
90,90,56,Homem,2,Propria,Pequena,,618,12,radio/TV,Bom
91,91,54,Homem,2,Propria,Pequena,Pequena,1409,12,Automovel,Bom
92,92,33,Mulher,1,Propria,,,797,12,radio/TV,Ruim
93,93,20,Homem,2,Alugada,,Rico,3617,24,Moveis/Equipamentos,Bom
94,94,54,Homem,2,Propria,rich,Moderada,1318,12,Automovel,Bom
95,95,58,Homem,2,Alugada,Pequena,Moderada,15945,54,Negocios,Ruim
96,96,61,Mulher,2,Propria,,,2012,12,Educação,Bom
97,97,34,Homem,2,Propria,Moderada,Moderada,2622,18,Negocios,Bom
98,98,36,Homem,2,Propria,Pequena,Moderada,2337,36,radio/TV,Bom
99,99,36,Homem,3,Alugada,,Moderada,7057,20,Automovel,Bom
100,100,41,Homem,1,Alugada,Moderada,,1469,24,Automovel,Bom
101,101,24,Homem,2,Alugada,Pequena,Moderada,2323,36,radio/TV,Bom
102,102,24,Mulher,2,Propria,Pequena,,932,6,radio/TV,Bom
103,103,35,Homem,2,Alugada,Pequena,Moderada,1919,9,Moveis/Equipamentos,Bom
104,104,26,Homem,2,Alugada,,,2445,12,Automovel,Bom
105,105,39,Homem,3,Propria,Pequena,Moderada,11938,24,Ferias/Outros,Ruim
106,106,39,Homem,3,Propria,Pequena,,6458,18,Automovel,Ruim
107,107,32,Homem,2,Propria,Pequena,Moderada,6078,12,Automovel,Bom
108,108,30,Mulher,2,Propria,,Pequena,7721,24,Moveis/Equipamentos,Bom
109,109,35,Homem,2,Propria,Muito Rica,Moderada,1410,14,Negocios,Bom
110,110,31,Homem,2,Propria,Moderada,Moderada,1449,6,Negocios,Bom
111,111,23,Mulher,2,Alugada,Pequena,Rico,392,15,Educação,Bom
112,112,28,Homem,1,Alugada,Pequena,Moderada,6260,18,Automovel,Bom
113,113,25,Mulher,2,Propria,Pequena,,7855,36,Automovel,Ruim
114,114,35,Homem,2,Propria,Muito Rica,Pequena,1680,12,radio/TV,Bom
115,115,47,Homem,2,Propria,,,3578,48,radio/TV,Bom
116,116,30,Mulher,3,Propria,,Pequena,7174,42,radio/TV,Ruim
117,117,27,Mulher,2,Alugada,,Pequena,2132,10,Moveis/Equipamentos,Bom
118,118,23,Mulher,2,Propria,Muito Rica,Pequena,4281,33,Moveis/Equipamentos,Ruim
119,119,36,Homem,3,Propria,Muito Rica,Moderada,2366,12,Automovel,Bom
120,120,25,Mulher,2,Propria,Pequena,Pequena,1835,21,radio/TV,Ruim
121,121,41,Mulher,3,Alugada,Pequena,,3868,24,Automovel,Bom
122,122,24,Homem,1,Alugada,Pequena,,1768,12,Moveis/Equipamentos,Bom
123,123,63,Homem,2,Gratis,Pequena,Rico,781,10,Automovel,Bom
124,124,27,Mulher,2,Alugada,,Moderada,1924,18,Moveis/Equipamentos,Ruim
125,125,30,Homem,2,Propria,Pequena,Pequena,2121,12,Automovel,Bom
126,126,40,Homem,1,Propria,Pequena,Pequena,701,12,radio/TV,Bom
127,127,30,Homem,2,Propria,Pequena,Moderada,639,12,Reparos,Ruim
128,128,34,Homem,3,Propria,Pequena,Moderada,1860,12,Automovel,Bom
129,129,29,Mulher,2,Propria,Pequena,Pequena,3499,12,Automovel,Ruim
130,130,24,Mulher,2,Propria,,Moderada,8487,48,Automovel,Bom
131,131,29,Homem,2,Propria,Pequena,Pequena,6887,36,Educação,Ruim
132,132,27,Homem,1,Propria,Pequena,,2708,15,Moveis/Equipamentos,Bom
133,133,47,Homem,2,Gratis,Pequena,,1984,18,Moveis/Equipamentos,Bom
134,134,21,Mulher,2,Propria,Moderada,,10144,60,radio/TV,Bom
135,135,38,Mulher,2,Propria,,,1240,12,radio/TV,Bom
136,136,27,Homem,2,Propria,rich,,8613,27,Automovel,Bom
137,137,66,Homem,1,Propria,Muito Rica,Moderada,766,12,radio/TV,Ruim
138,138,35,Homem,2,Propria,,Moderada,2728,15,radio/TV,Bom
139,139,44,Mulher,1,Alugada,Pequena,Rico,1881,12,radio/TV,Bom
140,140,27,Homem,0,Propria,rich,Rico,709,6,Automovel,Bom
141,141,30,Mulher,3,Propria,Pequena,Moderada,4795,36,radio/TV,Bom
142,142,27,Homem,3,Propria,Pequena,Pequena,3416,27,radio/TV,Bom
143,143,22,Homem,2,Propria,Pequena,Pequena,2462,18,Moveis/Equipamentos,Ruim
144,144,23,Mulher,2,Propria,Pequena,,2288,21,Moveis/Equipamentos,Bom
145,145,30,Homem,2,Propria,Moderada,Moderada,3566,48,Negocios,Bom
146,146,39,Mulher,2,Propria,Pequena,Pequena,860,6,Automovel,Bom
147,147,51,Mulher,2,Propria,Moderada,,682,12,Automovel,Bom
148,148,28,Homem,2,Propria,Pequena,Pequena,5371,36,Moveis/Equipamentos,Bom
149,149,46,Homem,2,Propria,rich,,1582,18,radio/TV,Bom
150,150,42,Homem,2,Gratis,Moderada,,1346,6,radio/TV,Bom
151,151,38,Homem,2,Propria,Pequena,,1924,10,radio/TV,Bom
152,152,24,Homem,2,Propria,Pequena,Rico,5848,36,radio/TV,Bom
153,153,29,Mulher,2,Alugada,rich,Moderada,7758,24,Automovel,Bom
154,154,36,Homem,3,Alugada,Moderada,Moderada,6967,24,Negocios,Bom
155,155,20,Mulher,2,Alugada,Pequena,Pequena,1282,12,Moveis/Equipamentos,Ruim
156,156,48,Homem,2,Propria,Moderada,Pequena,1288,9,Reparos,Bom
157,157,45,Homem,1,Propria,Pequena,Pequena,339,12,Educação,Bom
158,158,38,Homem,2,Propria,Moderada,Moderada,3512,24,Automovel,Bom
159,159,34,Homem,1,Propria,,,1898,6,radio/TV,Bom
160,160,36,Homem,2,Propria,Moderada,,2872,24,radio/TV,Bom
161,161,30,Mulher,2,Propria,Pequena,,1055,18,Automovel,Bom
162,162,36,Homem,2,Propria,Muito Rica,,1262,15,Eletrodomesticos,Bom
163,163,70,Homem,3,Gratis,Pequena,Moderada,7308,10,Automovel,Bom
164,164,36,Homem,2,Propria,Muito Rica,,909,36,Automovel,Bom
165,165,32,Homem,2,Propria,Muito Rica,,2978,6,Moveis/Equipamentos,Bom
166,166,33,Mulher,2,Propria,Pequena,Pequena,1131,18,Moveis/Equipamentos,Ruim
167,167,20,Mulher,2,Propria,rich,Moderada,1577,11,Moveis/Equipamentos,Bom
168,168,25,Mulher,2,Alugada,Pequena,,3972,24,Moveis/Equipamentos,Bom
169,169,31,Homem,2,Propria,Pequena,Moderada,1935,24,Negocios,Ruim
170,170,33,Homem,2,Alugada,Pequena,Pequena,950,15,Automovel,Ruim
171,171,26,Mulher,2,Propria,Pequena,,763,12,Moveis/Equipamentos,Bom
172,172,34,Mulher,3,Propria,Pequena,Moderada,2064,24,Moveis/Equipamentos,Ruim
173,173,33,Homem,2,Propria,Pequena,Moderada,1414,8,radio/TV,Bom
174,174,26,Homem,2,Propria,Pequena,Pequena,3414,21,Educação,Ruim
175,175,53,Mulher,3,Propria,,,7485,30,Automovel,Ruim
176,176,42,Homem,2,Propria,Pequena,Pequena,2577,12,Moveis/Equipamentos,Bom
177,177,52,Homem,2,Propria,Muito Rica,Pequena,338,6,radio/TV,Bom
178,178,31,Homem,3,Alugada,Pequena,,1963,12,radio/TV,Bom
179,179,65,Homem,2,Propria,Pequena,Pequena,571,21,Automovel,Bom
180,180,28,Homem,2,Propria,Pequena,,9572,36,Negocios,Ruim
181,181,30,Homem,3,Propria,Pequena,Moderada,4455,36,Negocios,Ruim
182,182,40,Homem,1,Propria,,Pequena,1647,21,Automovel,Ruim
183,183,50,Homem,2,Propria,rich,,3777,24,Moveis/Equipamentos,Bom
184,184,36,Homem,2,Propria,Pequena,Moderada,884,18,Automovel,Ruim
185,185,31,Homem,2,Propria,Pequena,,1360,15,radio/TV,Bom
186,186,74,Mulher,3,Gratis,Pequena,Moderada,5129,9,Automovel,Ruim
187,187,68,Homem,0,Gratis,Pequena,Moderada,1175,16,Automovel,Bom
188,188,20,Homem,2,Propria,Moderada,Pequena,674,12,radio/TV,Ruim
189,189,33,Mulher,2,Propria,Pequena,Moderada,3244,18,Moveis/Equipamentos,Bom
190,190,54,Homem,3,Propria,rich,,4591,24,Negocios,Ruim
191,191,34,Homem,1,Gratis,Moderada,Moderada,3844,48,Negocios,Ruim
192,192,36,Homem,2,Propria,Pequena,Moderada,3915,27,Negocios,Ruim
193,193,29,Homem,2,Alugada,Pequena,,2108,6,radio/TV,Bom
194,194,21,Homem,2,Alugada,Moderada,Moderada,3031,45,radio/TV,Ruim
195,195,34,Mulher,3,Propria,Pequena,Moderada,1501,9,Educação,Ruim
196,196,28,Mulher,2,Propria,Pequena,,1382,6,radio/TV,Bom
197,197,27,Mulher,2,Alugada,Moderada,Moderada,951,12,Moveis/Equipamentos,Ruim
198,198,36,Homem,2,Gratis,,Moderada,2760,24,Automovel,Bom
199,199,40,Homem,3,Propria,Pequena,Moderada,4297,18,Moveis/Equipamentos,Ruim
200,200,52,Homem,2,Propria,Muito Rica,,936,9,Educação,Bom
201,201,27,Homem,1,Propria,Pequena,Pequena,1168,12,Automovel,Bom
202,202,26,Homem,2,Propria,Pequena,,5117,27,Negocios,Bom
203,203,21,Homem,2,Alugada,Pequena,Pequena,902,12,Educação,Ruim
204,204,38,Homem,1,Propria,Pequena,,1495,12,Automovel,Bom
205,205,38,Homem,3,Gratis,Pequena,Pequena,10623,30,Automovel,Bom
206,206,43,Homem,2,Propria,Pequena,,1935,12,Moveis/Equipamentos,Bom
207,207,26,Homem,2,Propria,Pequena,Moderada,1424,12,Eletrodomesticos,Bom
208,208,21,Homem,1,Propria,Pequena,Pequena,6568,24,Negocios,Bom
209,209,55,Homem,2,Propria,rich,,1413,12,Automovel,Bom
210,210,33,Homem,2,Propria,,,3074,9,radio/TV,Bom
211,211,45,Mulher,1,Propria,,,3835,36,radio/TV,Bom
212,212,50,Homem,2,Propria,Pequena,Pequena,5293,27,Negocios,Ruim
213,213,66,Homem,3,Propria,Pequena,Rico,1908,30,Negocios,Ruim
214,214,51,Homem,2,Propria,,,3342,36,radio/TV,Bom
215,215,39,Mulher,1,Propria,,Moderada,932,6,Educação,Bom
216,216,31,Homem,2,Propria,Pequena,Pequena,3104,18,Negocios,Bom
217,217,23,Homem,2,Propria,Pequena,Rico,3913,36,radio/TV,Bom
218,218,24,Homem,1,Alugada,Pequena,Pequena,3021,24,Moveis/Equipamentos,Bom
219,219,64,Mulher,2,Propria,Pequena,,1364,10,Automovel,Bom
220,220,26,Homem,1,Propria,Pequena,Moderada,625,12,radio/TV,Bom
221,221,23,Mulher,2,Alugada,,Pequena,1200,12,Educação,Bom
222,222,30,Homem,2,Propria,Pequena,,707,12,radio/TV,Bom
223,223,32,Homem,2,Propria,,,2978,24,Negocios,Bom
224,224,30,Homem,2,Propria,Pequena,,4657,15,Automovel,Bom
