,ClienteID,Idade,Sexo,Trab,Habitação,Conta Poupança,Conta corrente,Montante de credito,Duração,Objetivo
0,0,67,Homem,2,Propria,,Pequena,1169,6,radio/TV
1,1,22,Mulher,2,Propria,Pequena,Moderada,5951,48,radio/TV
2,2,49,Homem,1,Propria,Pequena,,2096,12,Educação
3,3,45,Homem,2,Gratis,Pequena,Pequena,7882,42,Moveis/Equipamentos
4,4,53,Homem,2,Gratis,Pequena,Pequena,4870,24,Automovel
5,5,35,Homem,1,Gratis,,,9055,36,Educação
6,6,53,Homem,2,Propria,Muito Rica,,2835,24,Moveis/Equipamentos
7,7,35,Homem,3,Alugada,Pequena,Moderada,6948,36,Automovel
8,8,61,Homem,1,Propria,rich,,3059,12,radio/TV
9,9,28,Homem,3,Propria,Pequena,Moderada,5234,30,Automovel
10,10,25,Mulher,2,Alugada,Pequena,Moderada,1295,12,Automovel
11,11,24,Mulher,2,Alugada,Pequena,Pequena,4308,48,Negocios
12,12,22,Mulher,2,Propria,Pequena,Moderada,1567,12,radio/TV
13,13,60,Homem,1,Propria,Pequena,Pequena,1199,24,Automovel
14,14,28,Mulher,2,Alugada,Pequena,Pequena,1403,15,Automovel
15,15,32,Mulher,1,Propria,Moderada,Pequena,1282,24,radio/TV
16,16,53,Homem,2,Propria,,,2424,24,radio/TV
17,17,25,Homem,2,Propria,,Pequena,8072,30,Negocios
18,18,44,Mulher,3,Gratis,Pequena,Moderada,12579,24,Automovel
19,19,31,Homem,2,Propria,Muito Rica,,3430,24,radio/TV
20,20,48,Homem,2,Propria,Pequena,,2134,9,Automovel
21,21,44,Homem,2,Alugada,Muito Rica,Pequena,2647,6,radio/TV
22,22,48,Homem,1,Alugada,Pequena,Pequena,2241,10,Automovel
23,23,44,Homem,2,Propria,Moderada,Moderada,1804,12,Automovel
24,24,26,Homem,2,Propria,,,2069,10,Moveis/Equipamentos
25,25,36,Homem,1,Propria,Pequena,Pequena,1374,6,Moveis/Equipamentos
26,26,39,Homem,1,Propria,Pequena,,426,6,radio/TV
27,27,42,Mulher,2,Alugada,rich,Rica,409,12,radio/TV
28,28,34,Homem,2,Propria,Pequena,Moderada,2415,7,radio/TV
29,29,63,Homem,2,Propria,Pequena,Pequena,6836,60,Negocios
30,30,36,Homem,2,Propria,rich,Moderada,1913,18,Negocios
31,31,27,Homem,2,Propria,Pequena,Pequena,4020,24,Moveis/Equipamentos
32,32,30,Homem,2,Propria,Moderada,Moderada,5866,18,Automovel
33,33,57,Homem,1,Alugada,,,1264,12,Negocios
34,34,33,Mulher,3,Propria,Pequena,Rica,1474,12,Moveis/Equipamentos
35,35,25,Homem,1,Propria,Pequena,Moderada,4746,45,radio/TV
36,36,31,Homem,2,Gratis,Pequena,,6110,48,Educação
37,37,37,Homem,2,Propria,Pequena,Rica,2100,18,radio/TV
38,38,37,Homem,2,Propria,Pequena,Rica,1225,10,Eletrodomesticos
39,39,24,Homem,2,Propria,Pequena,Moderada,458,9,radio/TV
40,40,30,Homem,3,Propria,Muito Rica,,2333,30,radio/TV
41,41,26,Homem,2,Propria,Muito Rica,Moderada,1158,12,radio/TV
42,42,44,Homem,1,Propria,Pequena,Moderada,6204,18,repairs
43,43,24,Homem,2,Alugada,Moderada,Pequena,6187,30,Automovel
44,44,58,Mulher,1,Gratis,Pequena,Pequena,6143,48,Automovel
45,45,35,Mulher,3,Propria,Pequena,,1393,11,Automovel
46,46,39,Homem,2,Propria,Muito Rica,,2299,36,radio/TV
47,47,23,Mulher,0,Alugada,Muito Rica,Pequena,1352,6,Automovel
48,48,39,Homem,1,Propria,Pequena,,7228,11,Automovel
49,49,28,Mulher,2,Propria,Moderada,,2073,12,radio/TV
50,50,29,Homem,1,Propria,,Moderada,2333,24,Moveis/Equipamentos
51,51,30,Homem,3,Propria,Pequena,Moderada,5965,27,Automovel
52,52,25,Homem,2,Propria,Pequena,,1262,12,radio/TV
53,53,31,Homem,2,Propria,,,3378,18,Automovel
54,54,57,Homem,2,Gratis,Pequena,Moderada,2225,36,Automovel
55,55,26,Homem,1,Propria,,,783,6,Automovel
56,56,52,Homem,3,Propria,,Moderada,6468,12,radio/TV
57,57,31,Mulher,2,Propria,Pequena,,9566,36,radio/TV
58,58,23,Mulher,3,Propria,Pequena,Rica,1961,18,Automovel
59,59,23,Mulher,1,Alugada,Pequena,Pequena,6229,36,Moveis/Equipamentos
60,60,27,Homem,2,Propria,Pequena,Moderada,1391,9,Negocios
61,61,50,Homem,2,Propria,,Moderada,1537,15,radio/TV
62,62,61,Homem,3,Gratis,Pequena,Moderada,1953,36,Negocios
